# Saturn Phosphorus Haze 
# From Noy et al 1981 and Saturn MRS Paper

3.243243243243242979e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.261261261261261257e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.279279279279279535e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.297297297297297369e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.315315315315315203e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.333333333333333037e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.351351351351351315e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.369369369369369593e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.387387387387387427e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.405405405405405261e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.423423423423423095e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.441441441441441373e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.459459459459459651e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.477477477477477485e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.495495495495495319e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.513513513513513598e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.531531531531531432e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.549549549549549710e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.567567567567567544e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.585585585585585378e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.603603603603603656e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.621621621621621934e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.639639639639639768e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.657657657657657602e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.675675675675675436e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.693693693693693714e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.711711711711711992e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.729729729729729826e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.747747747747747660e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.765765765765765494e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.783783783783783772e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.801801801801802050e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.819819819819819884e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.837837837837837718e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.855855855855855552e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.873873873873873830e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.891891891891892108e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.909909909909909942e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.927927927927927776e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.945945945945945610e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.963963963963963888e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.981981981981982166e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.000000000000000000e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.018018018018017834e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.036036036036035668e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.054054054054054390e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.072072072072072224e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.090090090090090058e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.108108108108107892e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.126126126126125726e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.144144144144144448e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.162162162162162282e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.180180180180180116e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.198198198198198838e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.216216216216215784e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.234234234234234506e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.252252252252252340e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.270270270270270174e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.288288288288288896e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.306306306306305842e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.324324324324324564e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.342342342342342398e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.360360360360360232e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.378378378378378954e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.396396396396395900e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.414414414414414622e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.432432432432432456e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.450450450450450290e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.468468468468469013e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.486486486486485958e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.504504504504504681e+00 1.820000000000000062e+00 5.000000000000000104e-03
4.522522522522522515e+00 1.820000000000000062e+00 5.000000000000000104e-03
