# Optical Properties of organic hazes made under water-rich (1000x solar), 300 K exoplanet conditions
# Citation: He, C., Radke, M.J., Moran, S.E., Hörst, S.M., Lewis, N.K., Moses, J.I., Batalha, N.E., Kempton, E.M.-R., Marley, M.S., Morley, C.V., Valenti, J.A., Vuitton, V. Optical Properties of Organic Haze Analogues in Water-rich Exoplanet Atmospheres Observable with JWST, Nature Astronomy, resubmitted

#index wavelength(microns) n	k
166 4.01285000e-01 1.79866240e+00 1.37982600e-03
167 4.01292700e-01 1.79863450e+00 1.38361600e-03
168 4.01300500e-01 1.79863330e+00 1.39034600e-03
169 4.01308300e-01 1.79863500e+00 1.40019400e-03
170 4.01316000e-01 1.79862590e+00 1.41233900e-03
171 4.01323800e-01 1.79860650e+00 1.42553300e-03
172 4.01331600e-01 1.79858490e+00 1.43732300e-03
173 4.01339300e-01 1.79856440e+00 1.44615300e-03
174 4.01347100e-01 1.79854560e+00 1.45233200e-03
175 4.01354900e-01 1.79852900e+00 1.45560700e-03
176 4.01362600e-01 1.79852070e+00 1.45772900e-03
177 4.01370400e-01 1.79852610e+00 1.46006000e-03
178 4.01378200e-01 1.79854270e+00 1.46172300e-03
179 4.01385900e-01 1.79855840e+00 1.46265100e-03
180 4.01393700e-01 1.79855330e+00 1.46224500e-03
181 4.01401500e-01 1.79851420e+00 1.46025000e-03
182 4.01409200e-01 1.79844190e+00 1.45567300e-03
183 4.01417000e-01 1.79834750e+00 1.44889100e-03
184 4.01424800e-01 1.79824120e+00 1.44012800e-03
185 4.01432600e-01 1.79813390e+00 1.43003700e-03
186 4.01440300e-01 1.79803510e+00 1.41792700e-03
187 4.01448100e-01 1.79795630e+00 1.40536600e-03
188 4.01455900e-01 1.79790780e+00 1.39506000e-03
189 4.01463600e-01 1.79788740e+00 1.38888400e-03
190 4.01471400e-01 1.79787930e+00 1.38705100e-03
191 4.01479200e-01 1.79786420e+00 1.38609800e-03
192 4.01486900e-01 1.79783560e+00 1.38320600e-03
193 4.01494700e-01 1.79780140e+00 1.37775600e-03
194 4.01502500e-01 1.79777880e+00 1.37235200e-03
195 4.01510300e-01 1.79777460e+00 1.36968800e-03
196 4.01518000e-01 1.79777670e+00 1.37026400e-03
197 4.01525800e-01 1.79776320e+00 1.37258400e-03
198 4.01533600e-01 1.79772160e+00 1.37511900e-03
199 4.01541400e-01 1.79765610e+00 1.37722400e-03
200 4.01549100e-01 1.79757960e+00 1.37989300e-03
201 4.01556900e-01 1.79750750e+00 1.38257700e-03
202 4.01564700e-01 1.79744610e+00 1.38371500e-03
203 4.01572500e-01 1.79739240e+00 1.38201800e-03
204 4.01580200e-01 1.79734160e+00 1.37785900e-03
205 4.01588000e-01 1.79729460e+00 1.37257200e-03
206 4.01595800e-01 1.79726120e+00 1.36983600e-03
207 4.01603600e-01 1.79725550e+00 1.37154900e-03
208 4.01611300e-01 1.79728270e+00 1.37645000e-03
209 4.01619100e-01 1.79732710e+00 1.38217300e-03
210 4.01626900e-01 1.79736050e+00 1.38601600e-03
211 4.01634700e-01 1.79735530e+00 1.38716400e-03
212 4.01642400e-01 1.79729710e+00 1.38708400e-03
213 4.01650200e-01 1.79719040e+00 1.38796600e-03
214 4.01658000e-01 1.79705510e+00 1.38985200e-03
215 4.01665800e-01 1.79691520e+00 1.39300800e-03
216 4.01673600e-01 1.79679070e+00 1.39746200e-03
217 4.01681300e-01 1.79669440e+00 1.40457100e-03
218 4.01689100e-01 1.79662890e+00 1.41316900e-03
219 4.01696900e-01 1.79659000e+00 1.42095700e-03
220 4.01704700e-01 1.79657090e+00 1.42507600e-03
221 4.01712500e-01 1.79656490e+00 1.42482900e-03
222 4.01720200e-01 1.79656420e+00 1.42243500e-03
223 4.01728000e-01 1.79655810e+00 1.42212300e-03
224 4.01735800e-01 1.79653320e+00 1.42509100e-03
225 4.01743600e-01 1.79648050e+00 1.43030000e-03
226 4.01751400e-01 1.79640390e+00 1.43459400e-03
227 4.01759100e-01 1.79632530e+00 1.43470000e-03
228 4.01766900e-01 1.79627540e+00 1.42838500e-03
229 4.01774700e-01 1.79627890e+00 1.41684800e-03
230 4.01782500e-01 1.79634630e+00 1.40188000e-03
231 4.01790300e-01 1.79646030e+00 1.38789000e-03
232 4.01798100e-01 1.79657760e+00 1.37841900e-03
233 4.01805800e-01 1.79665370e+00 1.37580500e-03
234 4.01813600e-01 1.79666100e+00 1.37968000e-03
235 4.01821400e-01 1.79659880e+00 1.38767800e-03
236 4.01829200e-01 1.79649280e+00 1.39621000e-03
237 4.01837000e-01 1.79637860e+00 1.40060500e-03
238 4.01844800e-01 1.79628680e+00 1.39933700e-03
239 4.01852600e-01 1.79623710e+00 1.39433400e-03
240 4.01860300e-01 1.79622830e+00 1.38940400e-03
241 4.01868100e-01 1.79623930e+00 1.38900700e-03
242 4.01875900e-01 1.79623930e+00 1.39331900e-03
243 4.01883700e-01 1.79620570e+00 1.39846600e-03
244 4.01891500e-01 1.79613880e+00 1.40015800e-03
245 4.01899300e-01 1.79605990e+00 1.39689600e-03
246 4.01907100e-01 1.79599330e+00 1.39017400e-03
247 4.01914800e-01 1.79594500e+00 1.38393000e-03
248 4.01922600e-01 1.79590220e+00 1.38305400e-03
249 4.01930400e-01 1.79584330e+00 1.38871400e-03
250 4.01938200e-01 1.79575260e+00 1.40001400e-03
251 4.01946000e-01 1.79563250e+00 1.41258700e-03
252 4.01953800e-01 1.79550510e+00 1.42267800e-03
253 4.01961600e-01 1.79539860e+00 1.42875300e-03
254 4.01969400e-01 1.79533140e+00 1.43268400e-03
255 4.01977200e-01 1.79530840e+00 1.43723300e-03
256 4.01985000e-01 1.79531900e+00 1.44707000e-03
257 4.01992700e-01 1.79534850e+00 1.46203100e-03
258 4.02000500e-01 1.79538150e+00 1.48026700e-03
259 4.02008300e-01 1.79540750e+00 1.49617100e-03
260 4.02016100e-01 1.79541920e+00 1.50551600e-03
261 4.02023900e-01 1.79540740e+00 1.50515200e-03
262 4.02031700e-01 1.79536870e+00 1.49634200e-03
263 4.02039500e-01 1.79531020e+00 1.48275400e-03
264 4.02047300e-01 1.79524770e+00 1.47074300e-03
265 4.02055100e-01 1.79519720e+00 1.46275700e-03
266 4.02062900e-01 1.79516950e+00 1.45801600e-03
267 4.02070700e-01 1.79516380e+00 1.45492900e-03
268 4.02078500e-01 1.79517560e+00 1.45223900e-03
269 4.02086300e-01 1.79519660e+00 1.45084700e-03
270 4.02094100e-01 1.79521570e+00 1.45256300e-03
271 4.02101900e-01 1.79521880e+00 1.45678600e-03
272 4.02109700e-01 1.79519310e+00 1.46270600e-03
273 4.02117400e-01 1.79513700e+00 1.46821000e-03
274 4.02125200e-01 1.79505580e+00 1.47250500e-03
275 4.02133000e-01 1.79496300e+00 1.47530600e-03
276 4.02140800e-01 1.79487310e+00 1.47573000e-03
277 4.02148600e-01 1.79479720e+00 1.47473800e-03
278 4.02156400e-01 1.79474340e+00 1.47113500e-03
279 4.02164200e-01 1.79471440e+00 1.46608600e-03
280 4.02172000e-01 1.79470510e+00 1.46095900e-03
281 4.02179800e-01 1.79470560e+00 1.45663200e-03
282 4.02187600e-01 1.79470910e+00 1.45339900e-03
283 4.02195400e-01 1.79471260e+00 1.45075800e-03
284 4.02203200e-01 1.79472090e+00 1.44754500e-03
285 4.02211000e-01 1.79473760e+00 1.44269400e-03
286 4.02218800e-01 1.79476080e+00 1.43626900e-03
287 4.02226600e-01 1.79477790e+00 1.42877300e-03
288 4.02234400e-01 1.79476670e+00 1.42086000e-03
289 4.02242200e-01 1.79470960e+00 1.41310200e-03
290 4.02250000e-01 1.79460620e+00 1.40672200e-03
291 4.02257800e-01 1.79448260e+00 1.40413000e-03
292 4.02265600e-01 1.79437610e+00 1.40705200e-03
293 4.02273400e-01 1.79431390e+00 1.41587800e-03
294 4.02281200e-01 1.79429940e+00 1.42631700e-03
295 4.02289000e-01 1.79431710e+00 1.43431100e-03
296 4.02296800e-01 1.79433780e+00 1.43772600e-03
297 4.02304600e-01 1.79433720e+00 1.43611700e-03
298 4.02312400e-01 1.79430990e+00 1.43254100e-03
299 4.02320200e-01 1.79426220e+00 1.43062800e-03
300 4.02328100e-01 1.79420800e+00 1.43298000e-03
301 4.02335900e-01 1.79415590e+00 1.44051100e-03
302 4.02343700e-01 1.79410480e+00 1.45238800e-03
303 4.02351500e-01 1.79404770e+00 1.46518700e-03
304 4.02359300e-01 1.79398010e+00 1.47349200e-03
305 4.02367100e-01 1.79390450e+00 1.47266800e-03
306 4.02374900e-01 1.79383300e+00 1.46344900e-03
307 4.02382700e-01 1.79377950e+00 1.44938500e-03
308 4.02390500e-01 1.79374450e+00 1.43621300e-03
309 4.02398300e-01 1.79371980e+00 1.42791500e-03
310 4.02406100e-01 1.79369620e+00 1.42431200e-03
311 4.02413900e-01 1.79367280e+00 1.42220700e-03
312 4.02421700e-01 1.79366020e+00 1.41754600e-03
313 4.02429500e-01 1.79367410e+00 1.40783700e-03
314 4.02437300e-01 1.79372200e+00 1.39453200e-03
315 4.02445200e-01 1.79379150e+00 1.38218400e-03
316 4.02453000e-01 1.79384870e+00 1.37570900e-03
317 4.02460800e-01 1.79385470e+00 1.37767700e-03
318 4.02468600e-01 1.79379190e+00 1.38829000e-03
319 4.02476400e-01 1.79366660e+00 1.40383200e-03
320 4.02484200e-01 1.79350510e+00 1.41978300e-03
321 4.02492000e-01 1.79334440e+00 1.42966500e-03
322 4.02499800e-01 1.79321800e+00 1.43141600e-03
323 4.02507600e-01 1.79314270e+00 1.42681100e-03
324 4.02515400e-01 1.79311310e+00 1.42101100e-03
325 4.02523300e-01 1.79310850e+00 1.41990300e-03
326 4.02531100e-01 1.79309910e+00 1.42560000e-03
327 4.02538900e-01 1.79306070e+00 1.43465400e-03
328 4.02546700e-01 1.79298990e+00 1.44312700e-03
329 4.02554500e-01 1.79290820e+00 1.44821800e-03
330 4.02562300e-01 1.79283880e+00 1.44790600e-03
331 4.02570100e-01 1.79278900e+00 1.44186700e-03
332 4.02577900e-01 1.79275390e+00 1.43166300e-03
333 4.02585800e-01 1.79271960e+00 1.42083800e-03
334 4.02593600e-01 1.79267500e+00 1.41551800e-03
335 4.02601400e-01 1.79262220e+00 1.42092800e-03
336 4.02609200e-01 1.79257750e+00 1.43546200e-03
337 4.02617000e-01 1.79255510e+00 1.45429600e-03
338 4.02624800e-01 1.79256070e+00 1.47105900e-03
339 4.02632700e-01 1.79258390e+00 1.48278300e-03
340 4.02640500e-01 1.79260250e+00 1.49091200e-03
341 4.02648300e-01 1.79259870e+00 1.49981800e-03
342 4.02656100e-01 1.79256530e+00 1.50987600e-03
343 4.02663900e-01 1.79250600e+00 1.52142700e-03
344 4.02671700e-01 1.79243040e+00 1.53275900e-03
345 4.02679600e-01 1.79235220e+00 1.54237800e-03
346 4.02687400e-01 1.79228320e+00 1.55023700e-03
347 4.02695200e-01 1.79223600e+00 1.55845900e-03
348 4.02703000e-01 1.79222180e+00 1.56712500e-03
349 4.02710800e-01 1.79224060e+00 1.57623400e-03
350 4.02718600e-01 1.79227780e+00 1.58490300e-03
351 4.02726500e-01 1.79231370e+00 1.59098000e-03
352 4.02734300e-01 1.79233370e+00 1.59212500e-03
353 4.02742100e-01 1.79233170e+00 1.58855100e-03
354 4.02749900e-01 1.79231130e+00 1.58205900e-03
355 4.02757700e-01 1.79227860e+00 1.57565300e-03
356 4.02765600e-01 1.79223540e+00 1.57261700e-03
357 4.02773400e-01 1.79217840e+00 1.57547300e-03
358 4.02781200e-01 1.79210350e+00 1.58252200e-03
359 4.02789000e-01 1.79200950e+00 1.58952800e-03
360 4.02796900e-01 1.79190340e+00 1.59125800e-03
361 4.02804700e-01 1.79180350e+00 1.58587600e-03
362 4.02812500e-01 1.79173080e+00 1.57596900e-03
363 4.02820300e-01 1.79169910e+00 1.56557300e-03
364 4.02828100e-01 1.79170770e+00 1.55798900e-03
365 4.02836000e-01 1.79173950e+00 1.55212700e-03
366 4.02843800e-01 1.79176720e+00 1.54650600e-03
367 4.02851600e-01 1.79177020e+00 1.53894700e-03
368 4.02859400e-01 1.79174270e+00 1.53034100e-03
369 4.02867300e-01 1.79168810e+00 1.52073400e-03
370 4.02875100e-01 1.79161760e+00 1.51116100e-03
371 4.02882900e-01 1.79154600e+00 1.50323100e-03
372 4.02890700e-01 1.79149570e+00 1.49876800e-03
373 4.02898600e-01 1.79142860e+00 1.49703100e-03
374 4.02906400e-01 1.79134000e+00 1.49625000e-03
375 4.02914200e-01 1.79126980e+00 1.49362200e-03
376 4.02922100e-01 1.79121390e+00 1.49002200e-03
377 4.02929900e-01 1.79117940e+00 1.48824800e-03
378 4.02937700e-01 1.79116980e+00 1.49002100e-03
379 4.02945500e-01 1.79117490e+00 1.49570900e-03
380 4.02953400e-01 1.79117880e+00 1.50271600e-03
381 4.02961200e-01 1.79116490e+00 1.50805800e-03
382 4.02969000e-01 1.79112720e+00 1.51170800e-03
383 4.02976900e-01 1.79107260e+00 1.51542200e-03
384 4.02984700e-01 1.79102020e+00 1.51957400e-03
385 4.02992500e-01 1.79099310e+00 1.52525200e-03
386 4.03000300e-01 1.79100490e+00 1.53059800e-03
387 4.03008200e-01 1.79105160e+00 1.53477200e-03
388 4.03016000e-01 1.79111040e+00 1.53544800e-03
389 4.03023800e-01 1.79115330e+00 1.53371000e-03
390 4.03031700e-01 1.79115900e+00 1.53071300e-03
391 4.03039500e-01 1.79112610e+00 1.53048600e-03
392 4.03047300e-01 1.79106810e+00 1.53482600e-03
393 4.03055200e-01 1.79100760e+00 1.54504800e-03
394 4.03063000e-01 1.79096860e+00 1.55778700e-03
395 4.03070800e-01 1.79096170e+00 1.57143000e-03
396 4.03078700e-01 1.79097990e+00 1.58282300e-03
397 4.03086500e-01 1.79100170e+00 1.58956400e-03
398 4.03094300e-01 1.79100320e+00 1.59065300e-03
399 4.03102200e-01 1.79097190e+00 1.58725200e-03
400 4.03110000e-01 1.79091510e+00 1.58250700e-03
401 4.03117800e-01 1.79085150e+00 1.58200000e-03
402 4.03125700e-01 1.79079780e+00 1.58668700e-03
403 4.03133500e-01 1.79075530e+00 1.59623700e-03
404 4.03141300e-01 1.79071090e+00 1.60736100e-03
405 4.03149200e-01 1.79064900e+00 1.61711500e-03
406 4.03157000e-01 1.79056060e+00 1.62321700e-03
407 4.03164900e-01 1.79045320e+00 1.62533100e-03
408 4.03172700e-01 1.79034550e+00 1.62187900e-03
409 4.03180500e-01 1.79025360e+00 1.61259100e-03
410 4.03188400e-01 1.79018250e+00 1.59834700e-03
411 4.03196200e-01 1.79012800e+00 1.58002300e-03
412 4.03204000e-01 1.79008260e+00 1.56072300e-03
413 4.03211900e-01 1.79004180e+00 1.54245000e-03
414 4.03219700e-01 1.79000920e+00 1.52811500e-03
415 4.03227600e-01 1.78998850e+00 1.51812300e-03
416 4.03235400e-01 1.78998320e+00 1.51361400e-03
417 4.03243200e-01 1.78998800e+00 1.51367300e-03
418 4.03251100e-01 1.78998800e+00 1.51726300e-03
419 4.03258900e-01 1.78996930e+00 1.52228100e-03
420 4.03266800e-01 1.78992820e+00 1.52614300e-03
421 4.03274600e-01 1.78986950e+00 1.52717300e-03
422 4.03282400e-01 1.78980630e+00 1.52716200e-03
423 4.03290300e-01 1.78975800e+00 1.52886600e-03
