# Optical Properties of organic hazes made under water-rich (1000x solar), 400 K exoplanet conditions
# Citation: He, C., Radke, M.J., Moran, S.E., Hörst, S.M., Lewis, N.K., Moses, J.I., Batalha, N.E., Kempton, E.M.-R., Marley, M.S., Morley, C.V., Valenti, J.A., Vuitton, V. Optical Properties of Organic Haze Analogues in Water-rich Exoplanet Atmospheres Observable with JWST, Nature Astronomy, resubmitted
#index wavelength(microns) n	k
230 4.01782500e-01 1.81668770e+00 2.77481600e-03
231 4.01790300e-01 1.81658690e+00 2.76025700e-03
232 4.01798100e-01 1.81666010e+00 2.74978400e-03
233 4.01805800e-01 1.81685030e+00 2.74283200e-03
234 4.01813600e-01 1.81706890e+00 2.74020900e-03
235 4.01821400e-01 1.81725460e+00 2.73851900e-03
236 4.01829200e-01 1.81737960e+00 2.73198400e-03
237 4.01837000e-01 1.81741560e+00 2.71816900e-03
238 4.01844800e-01 1.81733570e+00 2.70635200e-03
239 4.01852600e-01 1.81712610e+00 2.70243600e-03
240 4.01860300e-01 1.81682510e+00 2.71166900e-03
241 4.01868100e-01 1.81655290e+00 2.72601100e-03
242 4.01875900e-01 1.81641580e+00 2.73182400e-03
243 4.01883700e-01 1.81642130e+00 2.73081500e-03
244 4.01891500e-01 1.81650310e+00 2.72674800e-03
245 4.01899300e-01 1.81657710e+00 2.73381100e-03
246 4.01907100e-01 1.81661640e+00 2.75545300e-03
247 4.01914800e-01 1.81665170e+00 2.78405600e-03
248 4.01922600e-01 1.81669850e+00 2.81225400e-03
249 4.01930400e-01 1.81673430e+00 2.83001300e-03
250 4.01938200e-01 1.81671940e+00 2.83475700e-03
251 4.01946000e-01 1.81663230e+00 2.83017700e-03
252 4.01953800e-01 1.81647240e+00 2.82407500e-03
253 4.01961600e-01 1.81624570e+00 2.83039000e-03
254 4.01969400e-01 1.81598500e+00 2.85434100e-03
255 4.01977200e-01 1.81576510e+00 2.89254600e-03
256 4.01985000e-01 1.81566920e+00 2.93080900e-03
257 4.01992700e-01 1.81574170e+00 2.95238600e-03
258 4.02000500e-01 1.81593820e+00 2.94988100e-03
259 4.02008300e-01 1.81615160e+00 2.92253000e-03
260 4.02016100e-01 1.81630750e+00 2.87795500e-03
261 4.02023900e-01 1.81637830e+00 2.82919600e-03
262 4.02031700e-01 1.81637040e+00 2.79159500e-03
263 4.02039500e-01 1.81628620e+00 2.77807700e-03
264 4.02047300e-01 1.81611730e+00 2.78833400e-03
265 4.02055100e-01 1.81589740e+00 2.80942100e-03
266 4.02062900e-01 1.81568240e+00 2.82460900e-03
267 4.02070700e-01 1.81552860e+00 2.82771800e-03
268 4.02078500e-01 1.81548600e+00 2.82195300e-03
269 4.02086300e-01 1.81555490e+00 2.81323300e-03
270 4.02094100e-01 1.81567860e+00 2.80569400e-03
271 4.02101900e-01 1.81577350e+00 2.79553000e-03
272 4.02109700e-01 1.81575460e+00 2.78485900e-03
273 4.02117400e-01 1.81558090e+00 2.77915000e-03
274 4.02125200e-01 1.81529050e+00 2.78386600e-03
275 4.02133000e-01 1.81499370e+00 2.79947600e-03
276 4.02140800e-01 1.81481980e+00 2.82376600e-03
277 4.02148600e-01 1.81483250e+00 2.84851300e-03
278 4.02156400e-01 1.81499200e+00 2.86457000e-03
279 4.02164200e-01 1.81517020e+00 2.86914300e-03
280 4.02172000e-01 1.81524430e+00 2.86005100e-03
281 4.02179800e-01 1.81518510e+00 2.84416400e-03
282 4.02187600e-01 1.81505130e+00 2.83118500e-03
283 4.02195400e-01 1.81493740e+00 2.81743200e-03
284 4.02203200e-01 1.81492180e+00 2.79744500e-03
285 4.02211000e-01 1.81499900e+00 2.76553400e-03
286 4.02218800e-01 1.81509340e+00 2.72746700e-03
287 4.02226600e-01 1.81511680e+00 2.70061700e-03
288 4.02234400e-01 1.81501340e+00 2.69784900e-03
289 4.02242200e-01 1.81480520e+00 2.72102700e-03
290 4.02250000e-01 1.81455790e+00 2.75599300e-03
291 4.02257800e-01 1.81433660e+00 2.79200700e-03
292 4.02265600e-01 1.81419080e+00 2.81831900e-03
293 4.02273400e-01 1.81414230e+00 2.83367300e-03
294 4.02281200e-01 1.81418120e+00 2.84065400e-03
295 4.02289000e-01 1.81425930e+00 2.83784400e-03
296 4.02296800e-01 1.81429650e+00 2.82800800e-03
297 4.02304600e-01 1.81423670e+00 2.81509600e-03
298 4.02312400e-01 1.81409250e+00 2.80648900e-03
299 4.02320200e-01 1.81393860e+00 2.81574600e-03
300 4.02328100e-01 1.81387770e+00 2.84729700e-03
301 4.02335900e-01 1.81394540e+00 2.90110800e-03
302 4.02343700e-01 1.81407990e+00 2.96008000e-03
303 4.02351500e-01 1.81418280e+00 2.99807200e-03
304 4.02359300e-01 1.81419420e+00 3.00027600e-03
305 4.02367100e-01 1.81413910e+00 2.96605300e-03
306 4.02374900e-01 1.81408200e+00 2.91731600e-03
307 4.02382700e-01 1.81406960e+00 2.87783800e-03
308 4.02390500e-01 1.81408850e+00 2.86441400e-03
309 4.02398300e-01 1.81408700e+00 2.87795200e-03
310 4.02406100e-01 1.81403660e+00 2.90531900e-03
311 4.02413900e-01 1.81395040e+00 2.92844300e-03
312 4.02421700e-01 1.81389810e+00 2.93466900e-03
313 4.02429500e-01 1.81394810e+00 2.91469300e-03
314 4.02437300e-01 1.81409120e+00 2.87633100e-03
315 4.02445200e-01 1.81423720e+00 2.83771900e-03
316 4.02453000e-01 1.81425430e+00 2.81389400e-03
317 4.02460800e-01 1.81407410e+00 2.81850900e-03
318 4.02468600e-01 1.81374980e+00 2.84855400e-03
319 4.02476400e-01 1.81340390e+00 2.88751900e-03
320 4.02484200e-01 1.81314130e+00 2.91626300e-03
321 4.02492000e-01 1.81300460e+00 2.92185900e-03
322 4.02499800e-01 1.81296500e+00 2.90691500e-03
323 4.02507600e-01 1.81295660e+00 2.88670000e-03
324 4.02515400e-01 1.81294390e+00 2.87654500e-03
325 4.02523300e-01 1.81290820e+00 2.88061200e-03
326 4.02531100e-01 1.81285230e+00 2.88992400e-03
327 4.02538900e-01 1.81281170e+00 2.89465400e-03
328 4.02546700e-01 1.81282380e+00 2.89017000e-03
329 4.02554500e-01 1.81291660e+00 2.87812800e-03
330 4.02562300e-01 1.81306920e+00 2.85891700e-03
331 4.02570100e-01 1.81321870e+00 2.83475800e-03
332 4.02577900e-01 1.81331870e+00 2.81398700e-03
333 4.02585800e-01 1.81336130e+00 2.80595400e-03
334 4.02593600e-01 1.81336900e+00 2.81703300e-03
335 4.02601400e-01 1.81336450e+00 2.84163300e-03
336 4.02609200e-01 1.81333690e+00 2.86944600e-03
337 4.02617000e-01 1.81327430e+00 2.88764600e-03
338 4.02624800e-01 1.81319280e+00 2.89434000e-03
339 4.02632700e-01 1.81312620e+00 2.89439200e-03
340 4.02640500e-01 1.81310030e+00 2.88950900e-03
341 4.02648300e-01 1.81310000e+00 2.88858000e-03
