PRESS N2 O2 O3 H2O CH4 N2O CO2 CO
0.01567 0.899987221392054 8.289E-10 2.701E-14 1.218E-05 5.879E-07 1.93E-14 0.1 9.879E-09
0.01461 0.899987185955948 9.14E-10 3.093E-14 1.224E-05 5.631E-07 2.138E-14 0.1 1.003E-08
0.01362 0.899987159811941 1.018E-09 3.55E-14 1.229E-05 5.39E-07 2.309E-14 0.1 1.017E-08
0.0127 0.899987132842935 1.147E-09 4.073E-14 1.234E-05 5.157E-07 2.438E-14 0.1 1.031E-08
0.01183 0.899987105051928 1.308E-09 4.671E-14 1.239E-05 4.932E-07 2.518E-14 0.1 1.044E-08
0.01102 0.899987086631921 1.508E-09 5.355E-14 1.243E-05 4.713E-07 2.54E-14 0.1 1.056E-08
0.01027 0.899987057560914 1.759E-09 6.112E-14 1.248E-05 4.5E-07 2.494E-14 0.1 1.068E-08
0.009565 0.899987037726907 2.073E-09 6.885E-14 1.252E-05 4.294E-07 2.377E-14 0.1 1.08E-08
0.008908 0.899987016923902 2.466E-09 7.568E-14 1.256E-05 4.097E-07 2.201E-14 0.1 1.091E-08
0.008295 0.8999869951219 2.958E-09 8.02E-14 1.26E-05 3.909E-07 1.986E-14 0.1 1.102E-08
0.007723 0.899986982287901 3.572E-09 8.113E-14 1.263E-05 3.73E-07 1.766E-14 0.1 1.114E-08
0.007189 0.899986958594906 4.335E-09 7.819E-14 1.267E-05 3.558E-07 1.582E-14 0.1 1.127E-08
0.006692 0.899986943918913 5.271E-09 7.277E-14 1.27E-05 3.394E-07 1.46E-14 0.1 1.141E-08
0.006228 0.899986928125919 6.404E-09 6.699E-14 1.273E-05 3.239E-07 1.409E-14 0.1 1.157E-08
0.005795 0.899986921199924 7.75E-09 6.223E-14 1.275E-05 3.093E-07 1.418E-14 0.1 1.175E-08
0.005392 0.899986903015926 9.324E-09 5.883E-14 1.278E-05 2.957E-07 1.479E-14 0.1 1.196E-08
0.005016 0.899986903559928 1.113E-08 5.664E-14 1.279E-05 2.831E-07 1.582E-14 0.1 1.221E-08
0.004665 0.899986892839927 1.317E-08 5.536E-14 1.281E-05 2.715E-07 1.724E-14 0.1 1.249E-08
0.004339 0.899986880959926 1.544E-08 5.472E-14 1.283E-05 2.608E-07 1.9E-14 0.1 1.28E-08
0.004034 0.899986878019924 1.793E-08 5.453E-14 1.284E-05 2.509E-07 2.111E-14 0.1 1.315E-08
0.00375 0.899986884069922 2.068E-08 5.464E-14 1.284E-05 2.417E-07 2.358E-14 0.1 1.355E-08
0.003485 0.899986879029919 2.368E-08 5.493E-14 1.285E-05 2.333E-07 2.643E-14 0.1 1.399E-08
0.003238 0.899986883059915 2.688E-08 5.532E-14 1.285E-05 2.256E-07 2.961E-14 0.1 1.446E-08
0.003008 0.899986886149911 3.029E-08 5.578E-14 1.285E-05 2.186E-07 3.314E-14 0.1 1.496E-08
0.002793 0.899986888289906 3.392E-08 5.643E-14 1.285E-05 2.123E-07 3.706E-14 0.1 1.549E-08
0.002593 0.899986889689901 3.776E-08 5.795E-14 1.285E-05 2.065E-07 4.14E-14 0.1 1.605E-08
0.002406 0.899986900369893 4.18E-08 6.102E-14 1.284E-05 2.012E-07 4.614E-14 0.1 1.663E-08
0.002232 0.899986910309882 4.605E-08 6.677E-14 1.283E-05 1.964E-07 5.123E-14 0.1 1.724E-08
0.00207 0.899986919629865 5.05E-08 7.852E-14 1.282E-05 1.92E-07 5.656E-14 0.1 1.787E-08
0.00192 0.899986928289836 5.509E-08 1.02E-13 1.281E-05 1.881E-07 6.204E-14 0.1 1.852E-08
0.001779 0.899986936449787 5.976E-08 1.45E-13 1.28E-05 1.846E-07 6.748E-14 0.1 1.919E-08
0.001649 0.899986954419712 6.441E-08 2.154E-13 1.278E-05 1.813E-07 7.27E-14 0.1 1.987E-08
0.001527 0.899986972129604 6.891E-08 3.185E-13 1.276E-05 1.784E-07 7.748E-14 0.1 2.056E-08
0.001414 0.899986989889462 7.314E-08 4.565E-13 1.274E-05 1.757E-07 8.172E-14 0.1 2.127E-08
0.001309 0.89998700770928 7.7E-08 6.346E-13 1.272E-05 1.733E-07 8.534E-14 0.1 2.199E-08
0.001212 0.899987025769067 8.041E-08 8.447E-13 1.27E-05 1.711E-07 8.817E-14 0.1 2.272E-08
0.001121 0.899987054238833 8.329E-08 1.077E-12 1.267E-05 1.69E-07 9.008E-14 0.1 2.347E-08
0.001037 0.899987072938592 8.56E-08 1.317E-12 1.265E-05 1.672E-07 9.103E-14 0.1 2.426E-08
0.0009595 0.899987102018363 8.73E-08 1.546E-12 1.262E-05 1.656E-07 9.108E-14 0.1 2.508E-08
0.0008874 0.899987131688165 8.837E-08 1.745E-12 1.259E-05 1.64E-07 9.029E-14 0.1 2.594E-08
0.0008206 0.899987161708014 8.883E-08 1.897E-12 1.256E-05 1.626E-07 8.878E-14 0.1 2.686E-08
0.0007589 0.899987192037918 8.874E-08 1.995E-12 1.253E-05 1.614E-07 8.668E-14 0.1 2.782E-08
0.0007018 0.899987232777881 8.816E-08 2.035E-12 1.249E-05 1.602E-07 8.411E-14 0.1 2.886E-08
0.000649 0.899987263747898 8.718E-08 2.021E-12 1.246E-05 1.591E-07 8.117E-14 0.1 2.997E-08
0.0006002 0.89998730482796 8.591E-08 1.962E-12 1.242E-05 1.581E-07 7.797E-14 0.1 3.116E-08
0.0005551 0.899987345918056 8.444E-08 1.869E-12 1.238E-05 1.572E-07 7.46E-14 0.1 3.244E-08
0.0005135 0.899987396988174 8.288E-08 1.755E-12 1.233E-05 1.563E-07 7.114E-14 0.1 3.383E-08
0.0004751 0.899987437758302 8.13E-08 1.63E-12 1.229E-05 1.556E-07 6.766E-14 0.1 3.534E-08
0.0004395 0.899987488418433 7.98E-08 1.503E-12 1.224E-05 1.548E-07 6.422E-14 0.1 3.698E-08
0.0004067 0.89998753859856 7.844E-08 1.379E-12 1.219E-05 1.542E-07 6.086E-14 0.1 3.876E-08
