PRESS N2 O2 O3 H2O CH4 N2O CO2 CO
0.0001583 0.7539453992 0.21 1.089E-05 7.508E-06 2.191E-05 3.128E-07 3.60E-02 1.398E-05
0.0001459 0.7539454717 0.21 1.105E-05 7.516E-06 2.19E-05 3.123E-07 3.60E-02 1.375E-05
0.0001345 0.7539455352 0.21 1.121E-05 7.523E-06 2.19E-05 3.118E-07 3.60E-02 1.352E-05
0.0001238 0.7539456186 0.21 1.137E-05 7.53E-06 2.189E-05 3.114E-07 3.60E-02 1.328E-05
0.000114 0.7539457111 0.21 1.152E-05 7.538E-06 2.189E-05 3.109E-07 3.60E-02 1.303E-05
0.0001048 0.7539458036 0.21 1.168E-05 7.546E-06 2.188E-05 3.104E-07 3.60E-02 1.278E-05
9.637E-05 0.753945906 0.21 1.183E-05 7.554E-06 2.188E-05 3.1E-07 3.60E-02 1.252E-05
8.854E-05 0.7539460285 0.21 1.197E-05 7.562E-06 2.187E-05 3.095E-07 3.60E-02 1.226E-05
8.13E-05 0.753946151 0.21 1.211E-05 7.57E-06 2.187E-05 3.09E-07 3.60E-02 1.199E-05
7.461E-05 0.7539462924 0.21 1.225E-05 7.579E-06 2.186E-05 3.086E-07 3.60E-02 1.171E-05
6.844E-05 0.7539464339 0.21 1.238E-05 7.588E-06 2.186E-05 3.081E-07 3.60E-02 1.143E-05
6.275E-05 0.7539465953 0.21 1.251E-05 7.597E-06 2.185E-05 3.077E-07 3.60E-02 1.114E-05
5.75E-05 0.7539467568 0.21 1.263E-05 7.606E-06 2.185E-05 3.072E-07 3.60E-02 1.085E-05
5.268E-05 0.7539469483 0.21 1.274E-05 7.615E-06 2.184E-05 3.067E-07 3.60E-02 1.055E-05
4.824E-05 0.7539471487 0.21 1.284E-05 7.625E-06 2.184E-05 3.063E-07 3.60E-02 1.024E-05
4.416E-05 0.7539473542 0.21 1.294E-05 7.635E-06 2.183E-05 3.058E-07 3.60E-02 9.935E-06
4.042E-05 0.7539475867 0.21 1.302E-05 7.645E-06 2.182E-05 3.053E-07 3.60E-02 9.623E-06
3.698E-05 0.7539478211 0.21 1.309E-05 7.655E-06 2.182E-05 3.049E-07 3.60E-02 9.309E-06
3.383E-05 0.7539480866 0.21 1.314E-05 7.666E-06 2.181E-05 3.044E-07 3.60E-02 8.993E-06
3.095E-05 0.7539483531 0.21 1.318E-05 7.676E-06 2.181E-05 3.039E-07 3.60E-02 8.677E-06
2.831E-05 0.7539486485 0.21 1.32E-05 7.687E-06 2.18E-05 3.035E-07 3.60E-02 8.361E-06
2.589E-05 0.753948962 0.21 1.32E-05 7.697E-06 2.179E-05 3.03E-07 3.60E-02 8.048E-06
2.368E-05 0.7539492815 0.21 1.318E-05 7.708E-06 2.179E-05 3.025E-07 3.60E-02 7.738E-06
2.166E-05 0.753949637 0.21 1.313E-05 7.719E-06 2.178E-05 3.02E-07 3.60E-02 7.432E-06
