KCl - temp_cond=740, molecular_weight=74.55
Wav (microns)	n	k
21.5	1.38	7.64E-05
22	1.375	7.64E-05
22.5	1.37	7.64E-05
23	1.364	7.64E-05
23.5	1.358	7.64E-05
24	1.353	7.64E-05
24.5	1.346	7.64E-05
25	1.346	6.57E-04
25.5	1.334	6.57E-04
26	1.327	6.57E-04
26.5	1.32	6.57E-04
27	1.312	6.57E-04
27.5	1.3	6.57E-04
28	1.29	6.57E-04
28.5	1.29	6.57E-04
29	1.28	6.57E-04
29.5	1.3	6.57E-04
30	1.27	6.57E-04
30.5	1.2424	6.57E-04
31	1.253	6.57E-04
31.25	1.2431	6.57E-04
31.5	1.28	6.57E-04
32	1.222	6.57E-04
32.26	1.25	6.57E-04
32.5	1.21	6.57E-04
33	1.1991	6.57E-04
33.33	1.2	6.63E-03
33.5	1.866	6.63E-03
34	1.174	6.63E-03
34.48	1.15	6.63E-03
34.5	1.16	6.63E-03
35	1.1469	6.63E-03
35.71	1.1	2.30E-02
36.36	1.11	2.50E-02
37.04	1.05	2.80E-02
37.74	1.01	3.20E-02
38.46	0.99	4.20E-02
40	0.93	8.30E-02
41.67	0.85	0.14
42.55	0.86	0.17
43.48	0.8	0.18
44.44	0.7	0.2
45.45	0.53	0.35
46.51	0.64	0.58
47.62	0.7	0.52
48.78	0.65	0.5
50	0.57	0.53
52.63	0.41	0.77
55.56	0.31	1.05
57.14	0.23	1.2
58.82	0.17	1.5
60.61	0.15	2
62.5	0.17	2.2
64.52	0.24	2.9
66.67	0.44	4
68.97	1.1	5.5
71.43	5.3	4
76.07	5	0.8
76.92	4.1	0.32
80	3.5	0.23
83.33	3.2	0.2
90.91	2.9	0.15
100	2.7	0.11
105	2.65	9.00E-02
111	2.6	6.60E-02
117	2.55	0.11
125	2.5	0.11
133.3	2.45	0.1
142.9	2.2	9.20E-02
166.7	2.3	5.30E-02
200	2.2	4.00E-02
